custody_agency,date_of_release,sex,age,race_ethnicity,zip
PDP,2015-12-23 00:00:00,Male,65,Black,
PDP,2015-02-12 00:00:00,Male,63,Black,19144
PDP,2015-12-02 00:00:00,Male,64,Hispanic,19140
State,2015-05-18 00:00:00,Male,63,Black,19124
PDP,2015-05-03 00:00:00,Male,66,Black,19132
State,2015-06-25 00:00:00,Male,65,Black,19106
PDP,2015-08-12 00:00:00,Male,68,Black,19141
PDP,2015-04-15 00:00:00,Male,64,Black,19134
PDP,2015-01-09 00:00:00,Male,62,White,19146
State,2015-01-01 00:00:00,Male,62,Black,19120
State,2015-01-26 00:00:00,Male,61,Black,19129
PDP,2015-02-08 00:00:00,Male,69,Hispanic,19137
PDP,2015-12-28 00:00:00,Male,64,Black,19138
PDP,2015-08-06 00:00:00,Male,65,White,19134
State,2015-07-06 00:00:00,Male,64,Black,19151
PDP,2015-02-06 00:00:00,Male,64,Black,19140
State,2015-03-29 00:00:00,Male,62,Black,19139
PDP,2015-07-24 00:00:00,Male,66,Black,19130
State,2015-09-06 00:00:00,Male,66,Black,19144
State,2015-09-13 00:00:00,Male,67,Black,19148
PDP,2015-06-22 00:00:00,Male,61,Black,19138
PDP,2015-08-29 00:00:00,Male,64,Black,19132
PDP,2015-04-07 00:00:00,Male,67,Black,
State,2015-06-08 00:00:00,Male,64,Black,19124
State,2015-08-25 00:00:00,Male,64,Black,19139
State,2015-03-02 00:00:00,Male,64,Black,19144
State,2015-04-12 00:00:00,Male,62,Black,19143
State,2015-08-06 00:00:00,Male,63,Black,19133
PDP,2015-06-19 00:00:00,Male,62,Black,19144
PDP,2015-03-03 00:00:00,Male,57,Black,19138
PDP,2015-01-14 00:00:00,Male,62,Black,19121
PDP,2015-01-16 00:00:00,Male,62,Black,19140
State,2015-02-09 00:00:00,Male,63,Black,19143
State,2015-02-23 00:00:00,Male,63,White,19116
PDP,2015-03-12 00:00:00,Male,67,Black,19107
PDP,2015-07-02 00:00:00,Male,64,Black,
PDP,2015-06-26 00:00:00,Male,62,Black,19104
State,2015-02-03 00:00:00,Male,67,Black,19124
State,2015-09-22 00:00:00,Male,62,Black,19143
PDP,2015-02-13 00:00:00,Male,64,Black,19143
PDP,2015-01-18 00:00:00,Male,63,Black,19144
PDP,2015-12-04 00:00:00,Male,65,Black,19121
PDP,2015-07-20 00:00:00,Male,63,Black,19143
PDP,2015-08-26 00:00:00,Male,64,Black,
PDP,2015-10-23 00:00:00,Male,66,Black,19104
State,2015-07-02 00:00:00,Male,63,Black,19129
State,2015-04-13 00:00:00,Male,63,White,19116
PDP,2015-03-16 00:00:00,Male,61,Black,19153
PDP,2015-06-15 00:00:00,Male,63,Black,19141
State,2015-07-20 00:00:00,Male,61,Black,19124
PDP,2015-12-14 00:00:00,Female,65,Black,19142
State,2015-12-24 00:00:00,Male,63,Black,19119
PDP,2015-07-31 00:00:00,Male,62,Black,
State,2015-09-22 00:00:00,Male,65,Black,19123
State,2015-06-29 00:00:00,Male,62,Black,19121
PDP,2015-12-11 00:00:00,Male,63,Black,
PDP,2015-09-11 00:00:00,Male,62,Black,19124
PDP,2015-09-04 00:00:00,Male,64,Black,19124
PDP,2015-07-06 00:00:00,Male,67,Black,19143
PDP,2015-05-25 00:00:00,Male,75,Black,19132
PDP,2015-03-18 00:00:00,Male,69,Black,19142
PDP,2015-06-18 00:00:00,Male,62,Black,19140
PDP,2015-05-06 00:00:00,Male,63,Black,19146
State,2015-02-03 00:00:00,Male,66,Black,19143
PDP,2015-10-05 00:00:00,Male,63,Black,19146
PDP,2015-01-28 00:00:00,Male,61,Black,19140
State,2015-01-06 00:00:00,Male,63,Black,19129
PDP,2015-09-06 00:00:00,Male,63,Black,19144
PDP,2015-11-18 00:00:00,Male,67,Black,19143
PDP,2015-02-04 00:00:00,Male,63,White,19125
PDP,2015-11-12 00:00:00,Male,62,Hispanic,
PDP,2015-04-28 00:00:00,Male,23,Black,19146
PDP,2015-11-03 00:00:00,Male,60,Black,19122
PDP,2015-04-10 00:00:00,Female,69,Black,19121
PDP,2015-07-27 00:00:00,Male,65,Black,19121
PDP,2015-02-11 00:00:00,Male,58,Black,
State,2015-01-29 00:00:00,Male,62,Black,19120
PDP,2015-06-17 00:00:00,Male,63,Black,19131
State,2015-12-15 00:00:00,Male,60,Black,19146
PDP,2015-06-16 00:00:00,Male,64,Black,19121
PDP,2015-05-31 00:00:00,Male,61,Black,19133
PDP,2015-07-28 00:00:00,Female,67,Black,19140
State,2015-03-01 00:00:00,Male,67,Black,19120
PDP,2015-12-02 00:00:00,Male,71,Black,
PDP,2015-03-20 00:00:00,Male,62,Black,19114
PDP,2015-05-04 00:00:00,Male,62,Black,19145
PDP,2015-02-05 00:00:00,Male,59,Black,19146
PDP,2015-06-29 00:00:00,Female,62,Black,19146
PDP,2015-06-15 00:00:00,Male,67,Hispanic,19100
PDP,2015-06-07 00:00:00,Male,67,Black,19144
PDP,2015-05-27 00:00:00,Male,65,Hispanic,19133
PDP,2015-09-11 00:00:00,Male,63,Black,19143
PDP,2015-01-05 00:00:00,Male,58,Black,19139
PDP,2015-09-02 00:00:00,Male,58,Black,19124
PDP,2015-05-22 00:00:00,Male,65,Black,19141
PDP,2015-08-14 00:00:00,Male,63,Black,19133
PDP,2015-09-11 00:00:00,Male,61,Black,19120
State,2015-04-02 00:00:00,Male,61,Black,19121
PDP,2015-03-27 00:00:00,Male,62,Black,19145
PDP,2015-03-14 00:00:00,Male,67,Black,19121
PDP,2015-03-03 00:00:00,Male,64,Black,19130
PDP,2015-08-24 00:00:00,Male,55,Black,19144
PDP,2015-10-16 00:00:00,Male,59,White,19124
PDP,2015-03-03 00:00:00,Female,63,Black,19132
State,2015-08-29 00:00:00,Male,62,Black,19153
State,2015-08-04 00:00:00,Male,63,Black,19124
PDP,2015-01-28 00:00:00,Male,61,Black,
State,2015-01-20 00:00:00,Male,61,White,19129
PDP,2015-08-07 00:00:00,Male,58,Black,19100
State,2015-11-09 00:00:00,Male,65,Black,19140
State,2015-09-28 00:00:00,Male,61,Black,19134
PDP,2015-01-07 00:00:00,Male,63,Black,
PDP,2015-05-06 00:00:00,,63,Other,
State,2015-01-25 00:00:00,Male,61,Black,19141
PDP,2015-06-02 00:00:00,Male,60,Black,19133
PDP,2015-03-17 00:00:00,Male,62,Black,19131
PDP,2015-02-12 00:00:00,Male,61,Black,
PDP,2015-07-16 00:00:00,Male,63,White,19151
PDP,2015-12-22 00:00:00,Male,63,Black,19146
PDP,2015-03-16 00:00:00,Male,61,Black,19141
PDP,2015-06-17 00:00:00,Male,61,Black,19144
PDP,2015-05-05 00:00:00,Male,60,Black,
PDP,2015-03-09 00:00:00,Male,61,White,19115
PDP,2015-03-02 00:00:00,Male,62,Black,19127
PDP,2015-03-16 00:00:00,Male,61,Black,19144
PDP,2015-08-06 00:00:00,Male,69,Black,19121
PDP,2015-07-20 00:00:00,Male,66,Black,19129
PDP,2015-09-09 00:00:00,Female,63,Black,
PDP,2015-03-25 00:00:00,Male,67,Black,19104
PDP,2015-10-09 00:00:00,Male,60,Black,19133
PDP,2015-12-10 00:00:00,Male,61,Black,19142
PDP,2015-09-22 00:00:00,Male,62,White,19115
State,2015-09-08 00:00:00,Male,62,Black,19123
PDP,2015-04-21 00:00:00,Male,61,Black,19140
PDP,2015-01-07 00:00:00,Male,69,Black,19131
PDP,2015-03-16 00:00:00,Male,61,Black,19121
State,2015-08-17 00:00:00,Male,60,Black,19121
PDP,2015-01-20 00:00:00,Male,60,White,
State,2015-11-09 00:00:00,Male,61,Black,19116
PDP,2015-11-23 00:00:00,Male,61,White,19134
PDP,2015-10-07 00:00:00,Male,61,Black,19122
PDP,2015-06-26 00:00:00,Male,51,Black,19143
State,2015-09-07 00:00:00,Male,61,Black,19143
PDP,2015-11-17 00:00:00,Male,62,Black,19143
State,2015-12-16 00:00:00,Male,63,Black,19122
State,2015-06-30 00:00:00,Male,61,Black,19138
State,2015-08-26 00:00:00,Male,63,Black,19140
State,2015-02-05 00:00:00,Male,60,White,19111
State,2015-03-30 00:00:00,Female,63,Black,19129
PDP,2015-03-02 00:00:00,Male,60,Black,19132
PDP,2015-08-21 00:00:00,Male,62,White,
PDP,2015-06-25 00:00:00,Male,61,Black,19101
PDP,2015-01-12 00:00:00,Male,60,Black,19123
PDP,2015-08-14 00:00:00,Male,61,Black,19122
PDP,2015-03-24 00:00:00,Male,59,Black,19144
State,2015-01-11 00:00:00,Male,60,Black,19146
State,2015-04-20 00:00:00,Male,60,Black,19129
State,2015-05-11 00:00:00,Male,61,White,19116
PDP,2015-05-14 00:00:00,Male,62,Black,
PDP,2015-08-03 00:00:00,Male,61,White,19116
PDP,2015-08-12 00:00:00,Male,60,White,19148
State,2015-02-08 00:00:00,Male,58,Black,19139
PDP,2015-08-11 00:00:00,Male,60,Black,19131
State,2015-05-11 00:00:00,Male,58,Black,19116
PDP,2015-01-13 00:00:00,Male,60,Black,
State,2015-03-30 00:00:00,Male,60,Black,19116
PDP,2015-06-24 00:00:00,Male,63,Black,19152
PDP,2015-03-22 00:00:00,Male,64,Hispanic,19133
PDP,2015-03-04 00:00:00,Male,61,Black,19146
PDP,2015-08-03 00:00:00,Male,59,Black,
PDP,2015-05-26 00:00:00,Male,61,Black,19144
State,2015-04-23 00:00:00,Male,60,Black,19146
State,2015-09-12 00:00:00,Male,60,Black,19146
State,2015-04-06 00:00:00,Male,59,Black,19121
PDP,2015-02-18 00:00:00,Female,60,Black,19121
PDP,2015-03-19 00:00:00,Male,61,White,19147
PDP,2015-07-12 00:00:00,Male,79,Black,19132
PDP,2015-04-07 00:00:00,Male,60,White,19130
PDP,2015-05-14 00:00:00,Male,61,Black,19132
State,2015-03-02 00:00:00,Male,58,Black,19125
PDP,2015-05-13 00:00:00,Male,60,Black,19142
State,2015-08-20 00:00:00,Male,60,Black,19147
PDP,2015-02-13 00:00:00,Male,60,Black,19150
PDP,2015-06-01 00:00:00,Male,61,Black,19139
PDP,2015-01-22 00:00:00,Male,57,Black,
PDP,2015-02-13 00:00:00,Male,59,Black,19144
PDP,2015-04-22 00:00:00,Male,60,White,19145
State,2015-06-04 00:00:00,Male,60,White,19134
PDP,2015-11-23 00:00:00,Male,60,Black,
PDP,2015-01-28 00:00:00,Male,59,Black,19140
PDP,2015-04-07 00:00:00,Male,60,White,19136
PDP,2015-04-16 00:00:00,Male,59,Black,19139
State,2015-05-23 00:00:00,Male,65,White,19104
PDP,2015-06-02 00:00:00,Male,64,Black,
State,2015-04-16 00:00:00,Male,59,Black,19121
State,2015-12-14 00:00:00,Male,56,Black,19123
PDP,2015-03-17 00:00:00,Male,59,Black,19140
PDP,2015-06-30 00:00:00,Male,58,Black,19143
State,2015-04-06 00:00:00,Male,61,Black,19139
PDP,2015-03-09 00:00:00,Male,59,Black,19140
PDP,2015-03-31 00:00:00,Male,58,Black,19143
State,2015-02-17 00:00:00,Male,59,Black,19121
PDP,2015-12-30 00:00:00,Male,62,Black,19143
